Page filename,Approx. section/context,Element / tag / attribute source,Text string,Character count,Suggested feedback owner,Status,Teammate comments,Priority,Extraction note
index.html,Head metadata,title,FCG Group - Travel Infrastructure,33,,,,,
index.html,section - Connect to the supply infrastructure behind travel.,div,FCG Group,9,,,,,
index.html,section - Connect to the supply infrastructure behind travel.,h1,Connect to the supply infrastructure behind travel.,51,,,,,
index.html,section - Connect to the supply infrastructure behind travel.,p,"1M+ hotel properties. Every major airline. One connection to all of it. G-Link and F-Link give builders, TMCs, and corporate travel teams the live inventory and content layer behind every booking.",196,,,,,
index.html,section - Connect to the supply infrastructure behind travel.,button,Get connected,13,,,,,
index.html,section - Connect to the supply infrastructure behind travel.,span,NETWORK ACTIVE,14,,,,,
index.html,section - Connect to the supply infrastructure behind travel.,span,PROPERTIES: 1M+,15,,,,,
index.html,section - Connect to the supply infrastructure behind travel.,span,PARTNERS: 300+,14,,,,,
index.html,Navigation (shared),a[aria-label],FCG Group home,14,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Navigation (shared),li,"Products For builders & platforms Connect API Access Connect to G-Link and F-Link directly AI Booking Tool Connect AI to live travel inventory For TMCs & operators Operate Atlas TMC OS Connect operational surfaces into one hub Agent Booking Tool Search and book every supplier in one flow For corporates & travel programs Experience Corporate Booking Tool Modern booking for managed travel programs AgreeEase AI hotel sourcing, RFPs, and rate workflows",452,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Navigation (shared),li,"Solutions Whitelabel Launch with a ready-made travel platform Advisory & Implementation Plan, configure, and deploy the right stack AI Mapping Clean hotel, room, and supplier data",179,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Navigation (shared),li,About,5,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Navigation (shared),div,LIVE.NETWORK,12,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Navigation (shared),label,MODE,4,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Navigation (shared),a[aria-label],Open page sections,18,,,,,Shared sitewide copy; duplicate appearances omitted from later pages.
index.html,Body copy,span,CONNECTED ACROSS EVERY MARKET THAT MATTERS,42,,,,,
index.html,Body copy,span,SINGAPORE,9,,,,,
index.html,Body copy,span,HONG KONG,9,,,,,
index.html,Body copy,span,SHENZHEN,8,,,,,
index.html,Body copy,span,BEIJING,7,,,,,
index.html,Body copy,span,SHANGHAI,8,,,,,
index.html,Body copy,span,TAIPEI,6,,,,,
index.html,Body copy,span,KUALA LUMPUR,12,,,,,
index.html,Body copy,span,BANGKOK,7,,,,,
index.html,Body copy,span,HO CHI MINH,11,,,,,
index.html,Body copy,span,LONDON,6,,,,,
index.html,section #capabilities - The Core,h2,The Core,8,,,,,
index.html,section #capabilities - The Core,span,G-LINK_F-LINK,13,,,,,
index.html,section #capabilities - The Core,div,Multi-Source Aggregation,24,,,,,
index.html,section #capabilities - The Core,div,Properties,10,,,,,
index.html,section #capabilities - The Core,div,1M+ CONNECTED,13,,,,,
index.html,section #capabilities - The Core,div,SV_01,5,,,,,
index.html,section #capabilities - The Core,h3,G-Link: Hotel Supply,20,,,,,
index.html,section #capabilities - The Core,p,"The hardest problem in travel tech is content. G-Link resolves it. Connect to GDS, bedbanks, and direct sources through one clean feed with property identity, room types, images, amenities, descriptions, and policies already normalized.",236,,,,,
index.html,section #capabilities - The Core,span,Active,6,,,,,
index.html,section #capabilities - The Core,div,Fare Normalization,18,,,,,
index.html,section #capabilities - The Core,div,Sources,7,,,,,
index.html,section #capabilities - The Core,div,GDS + NDC + LCC,15,,,,,
index.html,section #capabilities - The Core,div,SV_02,5,,,,,
index.html,section #capabilities - The Core,h3,F-Link: Flight Supply,21,,,,,
index.html,section #capabilities - The Core,p,"NDC changed distribution. LCCs went direct. GDS content alone isn't enough anymore. F-Link connects GDS, NDC, and LCC direct into one standardized feed. Fare-family normalization. Ancillary management. Availability confidence. Full commercial control.",251,,,,,
index.html,section #capabilities - The Core,span,> compile_shaders(),19,,,,,
index.html,section #capabilities - The Core,span,> init_webgl_ctx(),18,,,,,
index.html,section #capabilities - The Core,span,> OK,4,,,,,
index.html,section #capabilities - The Core,div,Product Stack,13,,,,,
index.html,section #capabilities - The Core,div,3 FAMILIES,10,,,,,
index.html,section #capabilities - The Core,div,Architecture,12,,,,,
index.html,section #capabilities - The Core,div,MODULAR,7,,,,,
index.html,section #capabilities - The Core,div,SV_03,5,,,,,
index.html,section #capabilities - The Core,h3,Connect · Operate · Experience,30,,,,,
index.html,section #capabilities - The Core,p,"Three product families for three operating needs: build a product, run a travel company, or manage a corporate program. Every tool connects back to G-Link, F-Link, Akrapay, AI Mapping, and the same operational data layer.",221,,,,,
index.html,section #capabilities - The Core,span,Processing,10,,,,,
index.html,section - The Connection at a Glance,h2,The Connection at a Glance,26,,,,,
index.html,section - The Connection at a Glance,p,"300+ travel brands , TMCs, and hotel groups already connected. Real-time inventory, commercial-ready supply, and infrastructure that scales.",140,,,,,
index.html,section - The Connection at a Glance,span,Live Network,12,,,,,
index.html,section - The Connection at a Glance,h3,Connected Volume,16,,,,,
index.html,section - The Connection at a Glance,div,FLOWING THROUGH,15,,,,,
index.html,section - The Connection at a Glance,div,$500M+,6,,,,,
index.html,section - The Connection at a Glance,div,PARTNERS,8,,,,,
index.html,section - The Connection at a Glance,div,300+,4,,,,,
index.html,section - The Connection at a Glance,div,IN-HOUSE,8,,,,,
index.html,section - The Connection at a Glance,div,L3,2,,,,,
index.html,section - The Connection at a Glance,div,L2,2,,,,,
index.html,section - The Connection at a Glance,div,L1,2,,,,,
index.html,section - The Connection at a Glance,h3,Supply Layer,12,,,,,
index.html,section - The Connection at a Glance,span,G-LINK_HOTEL,12,,,,,
index.html,section - The Connection at a Glance,span,OK,2,,,,,
index.html,section - The Connection at a Glance,span,F-LINK_FLIGHT,13,,,,,
index.html,section - The Connection at a Glance,div,99.99,5,,,,,
index.html,section - The Connection at a Glance,h3,Network Uptime,14,,,,,
index.html,section - The Connection at a Glance,h3,Live Rates,10,,,,,
index.html,section - The Connection at a Glance,h3,Connected Across Every Market That Matters,42,,,,,
index.html,section - The Connection at a Glance,p,Asia-native. Globally connected. 10 offices across Asia-Pacific and London.,75,,,,,
index.html,section - The Connection at a Glance,div,10,2,,,,,
index.html,section - The Connection at a Glance,div,Offices,7,,,,,
index.html,section - The Connection at a Glance,div,300,3,,,,,
index.html,section - The Connection at a Glance,div,Partners Connected,18,,,,,
index.html,Body copy,span,The Stack,9,,,,,
index.html,Body copy,span,01,2,,,,,
index.html,Body copy,h3,Corporate Booking Tool,22,,,,,
